Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,HCar,H2O,Ins,Lac,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,MM09,MM12,MM14,MM17,MM20,Lip09,Lip13,Lip20,tNAA,Glx,tCho,tCr
0,0.00588251253755938,0.000994575465588622,0,0.304142208954091,0,0.507395855262891,0.408727141344533,0.979194064571408,0.182661969993256,7.28205121182059e-07,0.00270098980458983,0,0.119643911213429,0.0402116920814856,0,0,0.0228831441207729,0,0.0564558345482047,3.62276533769307e-05,0,0,0,0,1.36944784386578e-18,4.18106052455597e-19,0,0.159855603294914,1.38792120591594,0,0.000994575465588622
0,0.00614014933199916,0.00366540943843262,0,0.31434719424856,0.00834623525737864,0.857435293809194,0.375407671822243,1.0934491726366,0.133881785196595,6.14217783306539e-06,0,0,0.183500212957082,0,0,0.00438395097081799,0.0783532639418165,0.0158117526678121,0.0509002402015302,0.00788102909095969,0,0,0.0104482104296291,0.00645573297879969,0,5.37725150301583e-18,0,0.183500212957082,1.46885684445884,0.00834623525737864,0.00804936040925062
0,0.0028846880206703,0,0.00144628488437497,0.337123996145663,0,0.964696372339596,0.618963487581345,0.414092055215499,0.154369924646535,2.12217465563086e-06,0.00320988299203724,0.0387663702087462,0.0448350973907714,0,0,0,0,0.000761347118471934,0.0176199978033762,8.1236710805429e-05,0,0,0,0,1.46944249883443e-19,1.15699080782926e-18,2.26263365768065e-18,0.0448350973907714,1.03305554279684,0,0
0,0.00482277709164405,0,0,0.306891753227716,0.0136989105031429,0.243491538440137,0.755568769811179,1.00327256797384,0.153227882263182,2.78062710770878e-07,0.0146888667301484,0.039604446700887,0.0591711280542733,0,0.0113307352198701,0,0,0.000978099837988947,0.0248076220736917,3.11180697383815e-05,0,0,0,0,1.78060408132702e-18,0,0,0.0591711280542733,1.75884133778502,0.025029645723013,0
0,0.0429748345328748,0.00698284824750286,0,0.308666732842177,0,0.584818126650055,0.311456143286078,0.973989216153362,0.160329759300647,2.7787136239802e-07,0.0396488523665075,0.23562663000506,0.0898794258202153,0,0,0,0,0,0,9.52635304796594e-05,0,0,0,0,0,0,0,0.0898794258202153,1.28544535943944,0,0.00698284824750286
0,0.00574043935789256,0.00269667032430947,0,0.273320974876334,0.0162423944969263,0,0.740561962419267,1.40429702931547,0.140898715551084,1.27341209708088e-06,0,0,0.0530930919979391,0,0.00219546534135136,0.00346746839325434,0.0508074317057775,0.000240685787704086,0.0585919229680851,3.63703629959877e-05,0,0,0,0,0,2.79956513962967e-18,2.74103383024968e-18,0.0530930919979391,2.14485899173474,0.0184378598382776,0.0061641387175638
0,0.00592778420769017,0,0.00128021959297986,0.220936488841872,0,0.779474616530941,0.374136193759689,0.0346008211104887,0.110942945417505,0,0.0104330282811596,0.00852481259969301,0.00590382176519577,0.0740062807965056,0,0,0.00848443765310476,0.000505069380463795,0.0282173895358827,9.0697160921135e-05,0,0,0,0,0,1.28250632771139e-17,4.3421613000803e-17,0.0799101025617014,0.408737014870178,0,0
0,0.0257143487565728,0,0,0.140194974386771,0.00129345637144652,0.833391485594134,0.388449949194797,0.0192865881857235,0.0635622705556524,0,0.00687777705688036,0.0113489718189004,0,0.0133495188754199,4.20400592553882e-05,0,5.0800170092189e-05,0.000712075582211141,0.0159000167844754,0.0272380877432992,0,0,0,0.00881438524802409,0,0,0,0.0133495188754199,0.407736537380521,0.0013354964307019,0
0,0.00624132451282805,0,0.000622228980715078,0.143353079258287,0.00205327408595902,0.765996003836169,0.293841860678677,0.053838195820343,0.0722183785546888,0,0.0078002594951277,0,0.00397399115909627,0.0539686956683728,0.0177286504102258,0.00603539275639394,0.000146980636114745,0.000516892797998413,0.000953497531567152,6.61452616089721e-05,0,0,0,0,1.40882568414701e-18,0,2.46445834820287e-18,0.0579426868274691,0.34768005649902,0.0197819244961848,0.00603539275639394
0.0102990261070987,0.0781753488183975,0,0,0.227723078677312,0,0.308445325777046,0.861582781194705,0,0.103547684705258,3.94550103988426e-07,0.104338804945784,0.00113179702931725,0,0.0908154525130204,0,0,0.0455198095569346,0.0030611283894962,0.0782689354480695,3.35634144313525e-05,0,0.00234377308392454,0.00415565435759749,0,0,1.8861705969127e-18,0,0.0908154525130204,0.861582781194705,0,0
0,0.0226565660030994,0,0.000574007954762974,0.264674399412452,0,1.18369126946908,0.0327829488286068,0.00562322228603635,0.137178022952574,8.65379680914197e-07,0.0287170832538798,0.0735435605744743,0.000751551405665131,0.0424748711378468,0,0,0.0100610927491815,0.0371555513835503,0.0277720677316827,5.88622851487815e-05,0,0,0,0,9.80466855260707e-19,2.46488816870432e-19,0,0.0432264225435119,0.0384061711146431,0,0
0,0.00818493350687655,0,0.000274050274443449,0.119654148476445,0.000127433800540666,0.767302966437985,0.31784591296362,0,0.0484969163086932,0,0.047473711995189,0,0.00226765256732894,0.0609500850927504,0,0,5.76395980147158e-06,4.6229712593951e-05,0.00189267275003841,0.000917971982104328,0,0.0275648412169365,0.00755122724927694,0,6.42331926389378e-18,0,0,0.0632177376600793,0.31784591296362,0.000127433800540666,0
0,0.00552045100251427,0,0.00106578011302112,0.197417242903677,1.09173376486784e-05,0.670157928021476,0.311604091810909,0.133686904576713,0.144291198690792,0,0.00440098376700476,0.00180150837729366,0.00940889224455265,0.0746395497850953,0.00197608338308706,0,0,0,0,0.000100084537644786,0,0,0,0,0,2.33836256275646e-18,1.04857251420916e-18,0.0840484420296479,0.445290996387622,0.00198700072073574,0
0,0.00710164813561232,0,0.000559615264805754,0.239268598019167,0,0.670982109888792,0.552421291655238,0.399605737615749,0.0470165679758716,2.59032232014222e-07,0.0216134067102519,0,0.00300091707345914,0.0200084223710585,0,0,0,0.00079437774902876,0.0124558853676527,8.44315944325764e-05,0,0,0,0,0,5.47598079581677e-18,1.11197171236454e-18,0.0230093394445176,0.952027029270986,0,0
0,0,0,0.000443205124625081,0.320709001722738,0.0056240392355854,0.305381360908554,0.419382591359957,0.649483407764319,0.0724626550628016,7.93773375204519e-08,0.00841927160154384,0,0.0011767675132719,0.0334280658676293,0.00313093866242974,0,0,0,0,4.68797878714986e-05,0,0,0,0,2.35039586104659e-17,2.26048020774356e-17,6.2689598768951e-18,0.0346048333809012,1.06886599912428,0.00875497789801515,0
0.00911720366663826,0.0107291393737231,0,0.000122711722263882,0.192027071333435,0,0.475693397517365,0.595314327994688,0.440807472973678,0.0600761318989194,0,0.0284931677617521,0.058516596876201,1.78815683360147e-05,0,0,0,0,0,0.0105167963132855,0.0235361532356543,0,0,0,0,0,0,4.06949696600475e-18,1.78815683360147e-05,1.03612180096837,0,0
0,0.0154803992889162,0,0,0.293978065134857,0,0.613552179575574,0.640096707959357,0.429798073292935,0.121367565856584,2.12681924111973e-08,0.00822568255692777,0.00114398718861132,0.00916163048740033,0.077018597264961,0,0,0.00989354608968941,0.000651203223079515,0.0246623571136847,0.00010616875533739,0,0,0,0,0,0,0,0.0861802277523614,1.06989478125229,0,0
0,0.0249475946544521,0.00143838997030299,0,0.322978201641977,0.00491225891387314,0.536369089470365,0.52113282319364,0.528092161648723,0.0613053553893153,8.92946674559963e-09,0.317679751597248,0.00426886859428312,0.00381828694426178,0.0388727523153754,0,0,2.56249089849973e-05,0.000167648783369547,0.0222337275892182,6.2251354367833e-05,0,0,0,0,2.59955829474858e-17,6.30902763713947e-18,0,0.0426910392596372,1.04922498484236,0.00491225891387314,0.00143838997030299
0.00832420529039351,0.00289140841579507,0,0.00402671009478732,0.251303966373054,0,0.284681323588714,0.852270368111484,0.34337781732304,0.059755744594556,3.1515764933168e-08,0.0998554210219926,0.216251120104895,0,0.00456672579908188,0,0,0.00797786357209082,0.00588179373756148,0.104199672752349,7.4513880211908e-06,0,0,0,0.00160054458260308,1.86249065817707e-18,1.49389569576297e-19,0,0.00456672579908188,1.19564818543452,0,0
0,0,0,0.00144739429432016,0.325937681356297,0.00336608917389422,0.462139761973481,0.429278181912065,0.492586037054803,0.0534165655159039,2.81361162398175e-07,0.0165523651321095,0,0.00384202455945794,0.0334747421228911,0.00591114820826706,0,0.00638260804723754,0.000153308542243212,0.0143376543115935,0.00025376306623486,0,0,0,0,3.72475094661603e-17,4.12574785452939e-17,6.5917817781379e-17,0.037316766682349,0.921864218966867,0.00927723738216129,0
0,0.00231709658523512,0,0.00113875397070838,0.209431631583479,0,0.530868301709801,0.598212767603814,0.555322118874047,0.0539081315439598,1.85614274758137e-06,0.0171036297612708,0.0136022777196206,0.000831848096344802,0.0527040149073838,0,0,0.00220365653711021,0.000116050630570161,0.00573452235812851,8.50734872706531e-05,0.000669053944466269,0,0,0,1.93653596858872e-18,0,5.44622661936965e-18,0.0535358630037286,1.15353488647786,0,0
0,0.0203733640562502,0,0,0.334822053805188,0.0240943971754868,0.326366766950548,0.397071923125604,0.746555641252501,0.0757565872458725,1.12808832734887e-06,0.458795185880657,0.0573824277353025,0.0190860833130027,0.078063881921073,0.0175795470146096,0,0,0,0.00103623568910006,0.0117889266721731,0.0896410839206621,0,0,0,2.03420556055298e-17,0,0,0.0971499652340757,1.1436275643781,0.0416739441900964,0
0,0.024160003526667,0.0423437766865128,0,0.2443786822448,0.00862310213262431,0.107195942379721,0.642267745901828,0.801136105895213,0.103882948385776,8.90479430581091e-08,0.0232311907969611,0.0446401280769547,0.00683209526962703,0.0142288329409585,0.00433407952956077,0,0,6.06895802672359e-05,0.0189103676527784,4.46461897333165e-05,0,0,0,0,0,2.48970750999382e-18,6.37639431538935e-19,0.0210609282105855,1.44340385179704,0.0129571816621851,0.0423437766865128
0,0.169559362731201,0.000193570590806269,0,0.473445188635702,0.00257756162972349,0.356290834127775,0.689023564118619,0.428095490361586,0.24511598031355,0,0.0111379631765893,0,0.0319839617370089,0.0338667196298848,0,0.000153738048139613,0.00768385628704219,0.000141614114259868,0.0102787241224474,1.36191060233495e-05,0,0,0,0,6.96087740670751e-18,4.59067556955413e-17,0,0.0658506813668937,1.1171190544802,0.00257756162972349,0.000347308638945882
0,7.6365778664382e-05,0,0.000519712733421085,0.177839844441178,0.00697473625901723,0.226450565657927,0.45838369987338,0.58269693341324,0.0577917538599792,5.69740576060045e-08,0.0175977554952511,0,0.00664633234288649,0,0.00457506193516329,0,0.00565697105017761,0.000584402381415821,0.00395436659970926,3.94045162643635e-05,0,0,0,0,3.6345256097403e-19,1.02901792078156e-17,3.63484617731072e-18,0.00664633234288649,1.04108063328662,0.0115497981941805,0
