Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,H2O,Ins,Lac,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,MM09,MM12,MM14,MM17,MM20,Lip09,Lip13,Lip20,tNAA,Glx,tCho,tCr
0,0.0381493581017243,0,0.000880098347643121,0.100596048951337,0.00852532164446902,0.507648825944333,0.310964424524241,0.23571852355637,0,0.00257796214692008,0.020220903982323,0.0179127751401244,0.0863131728748379,0.0143968291443095,0,0,0,0,0.00023682754687423,0,0,0,0,1.57422217379995e-18,5.61780605493684e-19,1.45535440649974e-18,0.104225948014962,0.546682948080611,0.0229221507887786,0
0,0.00806636373590506,0,0.000689537546448083,0.331919849310618,0.00087570073558448,0.522280004435216,0.427844001536691,0.524259389475327,4.80224414590848e-06,0.0256377015327365,0,0.0096536904502583,0.0352210104751634,0,0,0,0.00111475382743478,0.0202149231152351,0.000333801473306561,0,0,0,0,0,1.45637617381412e-17,0,0.0448747009254217,0.952103391012018,0.00087570073558448,0
0,0.0161485978280324,0,0.000393876493593013,0.26782570155608,0.00407962222969273,0.372142718791264,0.444121427881666,0.580508197802421,5.69227379632646e-07,0.026437199078814,0,0.000968422321834645,0.0413488925607009,0,0,0,0,0,3.12642448261075e-05,0,0,0,0,0,2.67173088474984e-18,0,0.0423173148825355,1.02462962568409,0.00407962222969273,0
0,0.0199355301291484,0,4.52865355371914e-05,0.169256733170121,0.0130798753925486,0.521693664341492,0.614806928046402,0.416466039695733,0,0.0272244182719394,0.0556610151187786,0.0153739850169644,0,0,0,0,0,0.00351508649859376,0.00820947273017711,0,0,0,0,1.31171691512883e-17,0,0,0.0153739850169644,1.03127296774214,0.0130798753925486,0
0,0.084888567813795,0,0,0.208968746640231,0.00701103885558118,0.52621170127064,0.332154182627907,0.623521686867015,1.66540494628195e-09,0,0,0.00591075401019488,0.202140783304092,0.0018185553116391,0,0,0,0,5.1286584294343e-05,0,0,0,0,0,0,7.65886571547033e-18,0.208051537314287,0.955675869494922,0.00882959416722028,0
0,0.145280394456583,8.46827804371625e-05,0,0.207374103923224,0.0255995661216158,0.478225833477678,0.3749579944278,0.728592515958575,0.0777514105464479,0.0605260762809392,0.0182976267325149,0.000671334548922093,0.0190593370169055,0.00384540587297525,0,0,0.000373227090280456,0.0697414666768065,0.000140209131198636,0,0,0,0,2.24331536089034e-17,0,0,0.0197306715658276,1.10355051038637,0.029444971994591,8.46827804371625e-05
0,0.00661764606563012,0,0.00678725134975151,0.343088637570767,0,0.365627336510807,0.256147149589716,0.611253362975691,1.17254129548705e-06,0.0721047644055477,0.20880594623759,0,0.114325058081464,0,0,0.00598645565853598,0.00332645268628758,0.0518299129847593,0.115607281506438,0,0,0,0,1.41795084766156e-17,1.92249503666218e-17,3.12212063088485e-18,0.114325058081464,0.867400512565408,0,0
0,0,0,0.00486313205773493,0.251441003045774,0.0186201061480346,0.51478505763101,0.108409818150596,0.691423071100339,0,0.0360745885515726,0.00348417195625811,0.0207921285140797,0.0221855822820493,0.0300279907133885,0,0.000185290293156775,0,0.0376021448750052,0.000180821610748899,0,0,0,0,0,0,0,0.042977710796129,0.799832889250935,0.0486480968614231,0
0,0.00364427879866561,0,0.00109825201329403,0.271131752125945,0,0.555531587673861,0.380197889895248,0.721795468949956,9.72517383821445e-06,0.0359493295667419,0.041192537313096,0.0183028654441184,0.0513096827470545,0,0,0,0,0.00979235893591053,9.4197893693978e-05,0,0,0,0,1.53455962472414e-17,1.16405234193738e-17,2.26087816719638e-18,0.0696125481911729,1.1019933588452,0,0
0,0.0733524333724828,0,0,0.127697008273003,0.0341973336526455,0.34778037978567,0.460417040421552,0.724332675283089,0,0.044171957611073,0.0729436741113259,0.00798927540673443,0.0601572269271858,0.0306687582748279,0,0,0,0,0.000178720217626179,0,0,0,0,5.17527955892122e-19,1.23390007348314e-17,0,0.0681465023339202,1.18474971570464,0.0648660919274734,0
0,0.0572126129447636,0,0,0.27724336766781,0.0197337515128151,0.28556557936412,0.298558629859103,0.788255123988235,0,0.0455545758834494,0.165360666019001,0.0308037895558358,0.0305631617628407,0.00410540945017149,0,0,0,0.045889341540192,8.09453814066827e-05,0,0,0,0,0,3.33167976954273e-17,4.79984767783455e-18,0.0613669513186765,1.08681375384734,0.0238391609629866,0
0,0.0528411658688028,0,0,0.202538884840456,0.00766875774761278,0.473058668764624,0.687393639953581,0.468655104792146,0,0.00255924720412951,0.0120367924538638,0.0177907231002499,0.0597107678112691,0,0,0,0,0,0.040557862048809,0,0,0,0,0,0,0,0.0775014909115189,1.15604874474573,0.00766875774761278,0
0,0.020434755642456,0,0.000504388759925678,0.164121138977425,0.00794274034352064,0.397259470820456,0.302084265666831,0.550000846416806,0,0.0581226952739036,0,0.0199248001129926,0,0.00108607655941374,0,0.000843228178982821,0.00273081877363013,0.00558004314748183,9.37880522737569e-05,0,0,0,0,0,8.40495490907291e-18,0,0.0199248001129926,0.852085112083638,0.00902881690293437,0
