Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,HCar,H2O,Ins,Lac,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,MM09,MM12,MM14,MM17,MM20,Lip09,Lip13,Lip20,tNAA,Glx,tCho,tCr
0,0.000125220200094404,0,0.000327277759682225,0.217376742454094,0.00303168968489655,0.261210174620957,0.337178062000154,0.971467883540437,0.145006682304244,2.02816334515604e-08,0.0320828838318711,0.0535672282488169,1.60944755553432,0.188410126193932,0.00183530233712577,1.62866857766984e-05,0.0181222486978113,0.000275392541042631,0.0463694117175524,0.210193309726551,0,0,0,0,0,3.66613344642081e-18,4.35463508584693e-18,1.79785768172826,1.30864594554059,0.00486699202202231,1.62866857766984e-05
0,0.0190642996321802,0,0.000129816728513038,0.22737913765901,0.00223297983617944,0.191385917070355,0.205983643037598,0.902813657177983,0.105766185073706,2.5629923472425e-08,0.00480218453244532,0.0207036746130026,1.32072394751123,0.28464772979053,0.0136295050447741,0.000151681940779087,0.0147038555508082,0.00920049683100734,0.00422825850052067,0.258543120975372,0.0066830465213036,0.00321211244292818,0,0.00282548198377993,2.34467391812956e-17,5.96056356471902e-18,2.89190563630461e-18,1.60537167730176,1.10879730021558,0.0158624848809536,0.000151681940779087
0,0.000483322668040946,0,0.000296072108273803,0.195892312129372,0.00400339280228344,0.277148512569455,0.352195773631559,1.08284505142923,0.090194811190009,1.00343569688016e-09,0.00435231143651255,0.0508384078490397,1.28681495998399,0.12502083401636,0.00284694130393433,0,0.00423325290708727,0.0198718571337621,0.00341568573816545,0.190279790261063,0,0,0,0,1.20629573724593e-18,0,0,1.41183579400035,1.43504082506079,0.00685033410621777,0
0,0.0018237834832485,0.00754887958282087,0.00052933930995298,0.214312103755945,0.0101724844900572,0.278327466381303,0.319629332861852,1.01951025516641,0.109579807816603,0.003167100169964,0.00781444536635087,0.105105779979746,1.24777270326347,0.204303252177773,0.00199503683796411,0.00736472250800872,0.00375801099599464,0.000493080199200056,0.0132150864886741,0.203177306586194,0.0101749099645318,0.00233707630769432,0.00180860189327224,0.005486519014476,0,0,0,1.45207595544125,1.33913958802826,0.0121675213280213,0.0149136020908296
1.8213220713502e-06,0.000580918937607892,0,0.000261011329861777,0.251780431734449,0.0042360287877306,0.213407053810831,0.294233982534407,1.10810364094295,0.119273469215661,9.37382476790653e-11,0.00622350810160836,0.00658541173550754,1.45657040303778,0.125566375663594,0.00318717636507718,0.000144120499713019,0.00450886886841515,0.000328408616782137,0.00415505808977535,0.219340819643162,0,0,0,0.00528208186026655,4.42434661617166e-18,0,0,1.58213677870137,1.40233762347735,0.00742320515280778,0.000144120499713019
3.58572592253183e-08,4.12220532791871e-07,0,0.000314508749267233,0.249061385403281,0.00972336492503558,0.277129604143682,0.296711767831073,1.1490982468262,0.0809716816569344,9.34679848394282e-09,0.0177978612831072,0.0252283046244149,1.42004901682955,0.127018628888636,0.00229790456522555,0.00292256578279355,0.00219602886520462,0.000425104258756184,0.000600581730874311,0.209531013071176,0,0,0,0,0,0,0,1.54706764571819,1.44581001465727,0.0120212694902611,0.00292256578279355
0.000127575708965357,0.000225986143169685,0,0.000361757810398637,0.257744150080255,0.0188239410596437,0.201558232924343,0.258758138474256,1.07632760107057,0.0888781603857698,1.59973777533588e-09,0.0133437090692925,0.0790726070041514,1.43778244646106,0.167213719896693,0.000327645810573868,0.0192948535291094,0.00562359617609379,0.00035644334375298,0.00797788480111109,0.207857840919308,0,0.0131118183102891,0.00226762047394906,0,0,0,1.41811232441377e-18,1.60499616635775,1.33508573954483,0.0191515868702176,0.0192948535291094
1.001236963793e-05,0.000560458706395651,0,0.000601650277658101,0.238853799293245,0.00171865332428153,0.217947834199287,0.120558299995795,0.980675059780018,0.0960627907516148,3.39180191870754e-08,0.00788070068130607,0,1.48209535179732,0.221788231250092,0.00120150460515053,0,0.00488070690290142,0.000355551165808224,0.00601416343533092,0.247410360236004,0,0,0,0,0,2.07493985300355e-18,2.69352136512604e-18,1.70388358304741,1.10123335977581,0.00292015792943206,0
1.55607144811322e-05,0.000156133918759179,0,0.000101402119784132,0.219858994413493,0.00738322934755386,0.267744120168951,0.33411124847084,0.958865760889349,0.0992988462026078,4.39795300200934e-10,0.00595790795378733,0.00436273119641261,1.25461153450113,0.165143093768744,0.00353072102927633,0.0168352995758674,0.00361025425849478,0.0119098483301716,0.00542353689772858,0.222228306703155,0,0,0,0.0142364367616804,4.15692420140991e-19,2.69152033166265e-18,0,1.41975462826987,1.29297700936019,0.0109139503768302,0.0168352995758674
0.0143874980663469,0.00131338259615409,5.50300022697647e-07,8.40024627189537e-05,0.251269136657907,0.023009513778203,0.256095191835443,0.338314886274065,1.07949916074906,0.146548740201182,0.00860151743946766,0.00660232751232386,0.0872754262938364,1.32621569811648,0.139030399291752,0.000451090575423249,0,0.00726836725452495,0.000632436131721075,0.0157094195679541,0.217573157752444,0,0.000987909534630372,0,0,9.56673256007386e-18,9.90979900035715e-18,0,1.46524609740823,1.41781404702313,0.0234606043536262,5.50300022697647e-07
0,0.0169206026164683,0,0.000452176648860586,0.210056387878556,0.00197887043540883,0.382173116587758,0.343560919960033,1.11596121234634,0.166351158601077,7.72665970836164e-09,0.00460165729841278,0.0632276873160989,1.52711120514906,0.117741812254057,0.00164758396063449,0.000208005767367745,0.005328346469242,0.000230490052789219,0.00603867884907438,0.219358983452126,0,0,0,0,2.57232173442358e-18,0,2.00299760121729e-18,1.64485301740311,1.45952213230637,0.00362645439604331,0.000208005767367745
